LogicalDesignator,ManufacturerPartNumber,Manufacturer,Note,PhysicalPath,FunctionalGroupTitle,ApprovedBy,DocumentNumberE3,FirstApply,Author,Organization,NormInspection,Title,CheckedBy

"","Плата печатная","","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"F1","04611.25ER","фирма "Littlefuse"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R10","RC0603JR-0710KL","фирма "Yageo"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R11","RC0603JR-0710KL","фирма "Yageo"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R12","RC0603JR-0710KL","фирма "Yageo"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R13","RC0603JR-0710KL","фирма "Yageo"","Не уст.","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R14","RC0603FR-070RL","фирма "Yageo"","Не уст.","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"R15","RC0603FR-070RL","фирма "Yageo"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP1","09 23 348 6921","фирма "Harting"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP2","0026013115","фирма "Molex"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP3","0026013115","фирма "Molex"","Не уст.","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP4","0026013115","фирма "Molex"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP5","0026013115","фирма "Molex"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP6","0768250004","фирма "Molex"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP7","0026013116","фирма "Molex"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP8","0026013116","фирма "Molex"","","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"XP9","0026013116","фирма "Molex"","Не уст.","main","","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"C1","GRM188R72A104KA35","фирма "Murata"","","main\A1","Буфер","Ярославский","МДТР.467872.001Э3","МДТР.467872.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
"DD1","74HC4050PW","фирма "Nexperia"","","main\A1","Буфер","","МДТР.467872.001Э3","МДТР.467872.001","Максимов","ООО "НПК "ТИМ"","","Модуль питания и охлаждения",""
